date,margin_ratio,pivot_pct,twii_chg,breadth_ratio,inst_total_raw,margin_today_raw,inst_5d,margin_5d_chg
2026-07-31,169.81,-1.38,7.98,82.8,17365.0,9144379.0,1.7,
2026-08-03,176.55,-0.95,0.62,59.9,25362.0,9120700.0,4.3,
2026-08-04,181.69,-1.01,-0.06,55.4,-22507.0,9032013.0,2.0,
2026-08-05,186.73,1.85,2.88,63.7,-1035.0,8901190.0,1.9,
2026-08-06,188.19,1.36,-0.48,48.9,8083.0,8958262.0,2.7,-2.04
2026-08-07,,0.97,-0.38,45.9,204.0,,1.0,
2026-08-10,,2.57,1.59,69.3,16310.0,,0.1,
2026-08-11,,3.01,0.43,35.9,-351.0,,2.3,
2026-08-12,,3.92,0.88,57.0,18198.0,,4.2,
2026-08-13,,5.07,1.11,41.1,9769.0,,4.4,
2026-08-14,,4.59,-0.46,27.7,7859.0,,5.2,
2026-08-17,,4.69,0.1,50.4,18249.0,,5.4,
2026-08-18,,3.44,-1.2,,,,,
2026-08-19,,2.09,-1.3,,,,,
2026-08-20,,2.09,-1.3,,,,,
2026-08-21,,3.25,0.65,55.0,-651.0,,5.3,
2026-08-24,,2.19,-1.02,29.7,251.0,,3.5,
