date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-08-28,2303,聯電,IC設計,半導體,False,88988,3935,1706,1611,1584,130.0,9.7,325935
2026-08-28,2892,第一金,金控,金融,False,43364,-927,4,15,10,34.4,3.15,68304
2026-08-28,2886,兆豐金,金控,金融,False,42353,-2885,144,437,-218,48.2,4.44,62205
2026-08-28,0050,元大台灣50,其他,其他,True,41108,0,1296,5833,-3041,106.95,0.85,78158
2026-08-28,3481,群創,面板,顯示面板,False,23715,188,3301,1226,1774,48.6,5.08,314569
2026-08-28,1303,南亞,石化,石化原料,False,15678,8561,2471,1745,-1090,220.5,-3.08,192491
2026-08-28,2409,友達,面板,顯示面板,False,14811,-23,82,284,732,25.85,2.38,126685
2026-08-28,2449,京元電子,封測,半導體,False,11540,998,623,368,879,270.0,9.09,56354
2026-08-28,1802,台玻,玻璃,傳統產業,False,11554,0,128,43,800,60.8,2.7,59326
2026-08-28,2834,臺企銀,其他,其他,False,11459,0,2,0,5,16.45,0.61,33351
2026-08-28,2880,華南金,金控,金融,False,14103,-1992,16,780,-662,40.25,2.29,30246
2026-08-28,2883,凱基金,金控,金融,True,9558,-42,2,317,181,32.75,1.87,20878
2026-08-28,6239,力成,封測,半導體,False,8790,-4,264,167,278,287.0,3.61,25798
2026-08-28,2481,強茂,IC設計,半導體,False,9150,265,790,494,265,154.0,5.12,42606
2026-08-28,0056,元大高股息,其他,其他,True,2600,0,0,36,6242,53.85,0.47,19255
2026-08-28,3049,精金,其他,其他,False,7896,0,165,18,-1,13.5,6.3,54731
2026-08-28,1312,國喬,石化,石化原料,False,7504,0,1719,1196,403,14.15,-1.05,212554
2026-08-28,0052,富邦科技,其他,其他,False,5609,-30,1204,1397,2312,62.35,0.73,15230
2026-08-28,3576,聯合再生,太陽能,綠能,False,6022,0,1,0,0,17.5,2.64,22670
2026-08-28,1709,和益,其他,其他,False,5778,0,60,79,1,36.15,0.0,22958
2026-08-28,2882,國泰金,金控,金融,False,4385,1188,42,457,96,105.5,2.93,19430
2026-08-28,2301,光寶科,EMS,電子製造,False,4122,778,372,359,275,317.5,5.48,50424
2026-08-28,1717,長興,化工,石化原料,False,2353,2200,182,49,124,77.7,2.51,29123
2026-08-28,1301,台塑,石化,石化原料,False,5288,0,584,396,-280,62.7,-0.63,33720
2026-08-28,1101,台泥,水泥,傳統產業,False,4732,-26,0,162,-156,24.3,0.83,16839
2026-08-28,6257,矽格,IC設計,半導體,False,3905,-1012,20,78,490,219.0,7.35,13534
2026-08-28,3450,聯鈞,IC設計,半導體,False,2563,596,52,140,133,635.0,9.86,19408
2026-08-28,3406,玉晶光,其他,其他,False,1669,1343,284,126,40,917.0,9.95,14487
2026-08-28,3037,欣興,PCB,PCB,False,3673,-13,469,792,-329,1110.0,-5.93,28940
2026-08-28,8150,南茂,封測,半導體,False,2933,0,63,66,23,90.5,0.22,22269
2026-08-28,1727,中華化,其他,其他,False,2942,0,1,42,60,98.1,1.24,7805
2026-08-28,5880,合庫金,金控,金融,False,2968,-1,0,4,-4,25.25,0.8,9386
2026-08-28,2890,永豐金,金控,金融,False,3146,-49,0,316,-313,39.8,1.14,19928
2026-08-28,1605,華新,電線電纜,電機傳產,False,3555,0,846,246,-195,39.0,0.26,17822
2026-08-28,3376,新日興,其他,其他,False,2259,0,121,143,55,217.0,3.33,18184
