code,name,strategy,entry_date,entry_price,status,exit_date,exit_price,exit_reason,ret_pct,current_price,unrealized_ret_pct
1439,雋揚,VCP-強勢VCP,2026-08-05,29.1,closed,2026-09-03,28.9,收盤跌破MA20,-0.69,29.2,0.34
2880,華南金,VCP-強勢VCP,2026-08-05,43.8,closed,2026-08-13,40.3,常數%停損(-8%) + 收盤跌破MA20,-8.0,44.4,1.37
6214,精誠,VCP-強勢VCP,2026-08-05,153.0,closed,2026-08-06,140.76,常數%停損(-8%),-8.0,153.0,0.0
2395,研華,VCP-強勢VCP,2026-08-05,633.0,closed,2026-09-03,674.0,收盤跌破MA20,6.48,711.0,12.32
2892,第一金,VCP-強勢VCP,2026-08-05,35.9,closed,2026-08-11,33.03,常數%停損(-8%) + 跌破5日低點支撐 + 收盤跌破MA20,-8.0,35.55,-0.97
2539,櫻花建,VCP-強勢VCP,2026-08-05,43.35,closed,2026-08-06,39.88,常數%停損(-8%),-8.0,43.3,-0.12
2882,國泰金,VCP-強勢VCP,2026-08-05,100.5,closed,2026-08-17,98.1,收盤跌破MA20,-2.39,99.4,-1.09
2891,中信金,VCP-強勢VCP,2026-08-05,66.0,closed,2026-08-20,63.4,收盤跌破MA20,-3.94,65.6,-0.61
6024,群益期,VCP-強勢VCP,2026-08-05,59.7,open,,,,,63.4,6.2
1907,永豐餘,VCP-強勢VCP,2026-08-05,29.75,closed,2026-08-14,28.95,收盤跌破MA20,-2.69,30.85,3.7
1525,江申,VCP-強勢VCP,2026-08-05,68.8,closed,2026-08-11,67.5,收盤跌破MA20,-1.89,68.7,-0.15
4938,和碩,VCP-強勢VCP,2026-08-05,89.5,closed,2026-08-27,89.4,收盤跌破MA20,-0.11,89.3,-0.22
9939,宏全,VCP-強勢VCP,2026-08-05,134.0,closed,2026-08-14,132.0,收盤跌破MA20,-1.49,144.5,7.84
9935,慶豐富,VCP-強勢VCP,2026-08-05,19.65,closed,2026-08-27,19.95,收盤跌破MA20,1.53,20.2,2.8
6491,晶碩,VCP-強勢VCP,2026-08-05,379.0,open,,,,,385.0,1.58
2834,臺企銀,VCP-強勢VCP,2026-08-05,16.75,closed,2026-08-06,16.55,收盤跌破MA20,-1.19,16.75,0.0
2885,元大金,VCP-強勢VCP,2026-08-05,69.4,closed,2026-08-18,63.85,常數%停損(-8%) + 收盤跌破MA20,-8.0,67.7,-2.45
2027,大成鋼,VCP-強勢VCP,2026-08-05,44.35,open,,,,,50.2,13.19
2881,富邦金,VCP-強勢VCP,2026-08-05,129.5,closed,2026-08-06,126.0,收盤跌破MA20,-2.7,129.5,0.0
1414,東和,VCP-強勢VCP,2026-08-05,19.5,closed,2026-08-24,19.35,收盤跌破MA20,-0.77,19.55,0.26
2432,倚天酷碁-創,VCP-強勢VCP,2026-08-05,28.5,closed,2026-08-07,28.1,收盤跌破MA20,-1.4,28.4,-0.35
3005,神基,VCP-強勢VCP,2026-08-05,115.0,closed,2026-08-25,115.0,收盤跌破MA20,0.0,115.0,0.0
2615,萬海,VCP-強勢VCP,2026-08-05,85.4,open,,,,,115.0,34.66
6277,宏正,VCP-強勢VCP,2026-08-05,77.5,closed,2026-08-06,75.3,收盤跌破MA20,-2.84,77.5,0.0
6243,迅杰,VCP-強勢VCP,2026-08-05,49.5,closed,2026-08-06,45.54,常數%停損(-8%) + 跌破5日低點支撐 + 收盤跌破MA20,-8.0,49.5,0.0
6969,成信實業*-創,VCP-強勢VCP,2026-08-05,34.1,closed,2026-08-14,31.4,收盤跌破MA20,-7.92,35.5,4.11
2362,藍天,VCP-強勢VCP,2026-08-06,51.1,closed,2026-08-10,47.01,常數%停損(-8%),-8.0,50.5,-1.17
3022,威強電,VCP-強勢VCP,2026-08-06,100.5,closed,2026-08-14,92.46,常數%停損(-8%),-8.0,103.0,2.49
3617,碩天,VCP-強勢VCP,2026-08-06,228.5,closed,2026-09-03,241.5,收盤跌破MA20,5.69,251.5,10.07
2535,達欣工,VCP-強勢VCP,2026-08-06,93.0,closed,2026-08-13,87.5,收盤跌破MA20,-5.91,90.1,-3.12
2762,世界健身-KY,VCP-強勢VCP,2026-08-06,82.8,closed,2026-08-11,82.5,收盤跌破MA20,-0.36,82.5,-0.36
4106,雃博,VCP-強勢VCP,2026-08-06,24.9,closed,2026-08-28,24.4,收盤跌破MA20,-2.01,24.5,-1.61
2637,慧洋-KY,VCP-強勢VCP,2026-08-06,85.5,open,,,,,99.8,16.73
6782,視陽,VCP-強勢VCP,2026-08-06,206.0,open,,,,,229.5,11.41
5388,中磊,VCP-強勢VCP,2026-08-06,91.8,closed,2026-08-12,84.46,常數%停損(-8%) + 收盤跌破MA20,-8.0,91.4,-0.44
2364,倫飛,VCP-強勢VCP,2026-08-06,71.8,closed,2026-08-24,74.6,收盤跌破MA20,3.9,72.0,0.28
4439,冠星-KY,VCP-強勢VCP,2026-08-06,102.0,closed,2026-08-12,100.5,收盤跌破MA20,-1.47,104.0,1.96
2247,汎德永業,VCP-強勢VCP,2026-08-06,230.0,closed,2026-08-13,224.5,收盤跌破MA20,-2.39,228.5,-0.65
1558,伸興,VCP-強勢VCP,2026-08-06,91.5,open,,,,,106.5,16.39
2115,六暉-KY,VCP-強勢VCP,2026-08-06,22.1,open,,,,,23.8,7.69
1517,利奇,VCP-強勢VCP,2026-08-06,11.7,closed,2026-08-14,11.45,收盤跌破MA20,-2.14,11.55,-1.28
2542,興富發,VCP-強勢VCP,2026-08-06,44.1,open,,,,,48.55,10.09
4763,材料*-KY,VCP-強勢VCP,2026-08-06,49.65,closed,2026-08-21,49.65,收盤跌破MA20,0.0,49.9,0.5
4119,旭富,VCP-強勢VCP,2026-08-06,48.65,open,,,,,56.1,15.31
2010,春源,盤整突破-嚴格版,2026-08-07,22.95,closed,2026-09-01,22.45,收盤跌破MA20,-2.18,22.7,-1.09
6807,峰源-KY,VCP-強勢VCP,2026-08-07,37.35,closed,2026-08-24,35.15,收盤跌破MA20,-5.89,37.35,-0.0
1808,潤隆,VCP-強勢VCP,2026-08-07,33.05,open,,,,,34.7,4.99
6589,台康生技,VCP-強勢VCP,2026-08-07,48.2,closed,2026-08-31,48.15,收盤跌破MA20,-0.1,50.2,4.15
5538,東明-KY,VCP-強勢VCP,2026-08-07,35.4,closed,2026-08-11,33.95,收盤跌破MA20,-4.1,35.4,0.0
9934,成霖,VCP-強勢VCP,2026-08-07,10.95,closed,2026-08-28,11.1,收盤跌破MA20,1.37,11.25,2.74
8481,政伸,VCP-強勢VCP,2026-08-07,40.5,closed,2026-08-18,40.1,收盤跌破MA20,-0.99,40.5,0.0
9941,裕融,VCP-強勢VCP,2026-08-07,84.3,closed,2026-08-10,77.56,常數%停損(-8%),-8.0,86.9,3.08
6757,台灣虎航,VCP-強勢VCP,2026-08-07,57.4,closed,2026-08-13,54.4,跌破5日低點支撐 + 收盤跌破MA20,-5.23,57.4,0.0
2915,潤泰全,VCP-強勢VCP,2026-08-07,51.9,closed,2026-08-31,56.0,收盤跌破MA20,7.9,58.6,12.91
1307,三芳,VCP-強勢VCP,2026-08-07,32.5,closed,2026-08-10,30.9,收盤跌破MA20,-4.92,32.5,0.0
3056,富華新,VCP-強勢VCP,2026-08-07,14.1,closed,2026-08-13,13.85,收盤跌破MA20,-1.77,14.1,0.0
1530,亞崴,VCP-強勢VCP,2026-08-07,28.0,closed,2026-08-10,27.15,跌破5日低點支撐 + 收盤跌破MA20,-3.04,28.0,0.0
4771,望隼,VCP-強勢VCP,2026-08-07,202.5,open,,,,,208.5,2.96
